SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
-13.000000;2;816;0.219200;502;502;0;0;0;0;0;0;0
-12.800000;2;816;0.219200;502;502;0;0;0;0;0;0;0
-12.600000;2;816;0.219200;502;502;0;0;0;0;0;0;0
-12.400000;2;816;0.219200;502;502;0;0;0;0;0;0;0
-12.200000;2;816;0.219200;502;502;0;0;0;0;0;0;0
-12.000000;2;816;0.219200;502;502;0;0;0;0;0;0;0
-11.800000;2;816;0.219200;502;502;0;0;0;0;0;0;0
-11.600000;2;816;0.219200;502;502;0;0;0;0;0;0;0
-11.400000;2;816;0.219200;502;502;0;0;0;0;0;0;0
-11.200000;2;816;0.219200;502;502;0;0;0;0;0;0;0
-11.000000;2;816;0.219200;502;502;0;0;0;0;0;0;0
-10.800000;2;816;0.219200;502;502;0;0;0;0;0;0;0
-10.600000;2;816;0.219200;502;502;0;0;0;0;0;0;0
-10.400000;2;816;0.219200;502;502;0;0;0;0;0;0;0
-10.200000;2;816;0.219200;502;502;0;0;0;0;0;0;0
-10.000000;2;816;0.219200;502;502;0;0;0;0;0;0;0
-9.800000;2;816;0.219200;502;502;0;0;0;0;0;0;0
-9.600000;2;816;0.219200;502;502;0;0;0;0;0;0;0
-9.400000;2;816;0.219200;502;502;0;0;0;0;0;0;0
-9.200000;2;816;0.219200;502;502;0;0;0;0;0;0;0
-9.000000;2;816;0.219200;502;502;0;0;0;0;0;0;0
-8.800000;2;816;0.219200;502;502;0;0;0;0;0;0;0
-8.600000;2;816;0.219200;502;502;0;0;0;0;0;0;0
-8.400000;2;816;0.219200;502;502;0;0;0;0;0;0;0
-8.200000;2;816;0.219200;502;502;0;0;0;0;0;0;0
-8.000000;2;816;0.219200;502;502;0;0;0;0;0;0;0
-7.800000;2;816;0.219200;502;502;0;0;0;0;0;0;0
-7.600000;2;816;0.219200;502;502;0;0;0;0;0;0;0
-7.400000;2;816;0.219200;502;502;0;0;0;0;0;0;0
-7.200000;2;816;0.219200;502;502;0;0;0;0;0;0;0
-7.000000;2;816;0.219200;502;502;0;0;0;0;0;0;0
-6.800000;2;816;0.219200;502;502;0;0;0;0;0;0;0
-6.600000;2;816;0.219200;502;502;0;0;0;0;0;0;0
-6.400000;2;816;0.219200;502;502;0;0;0;0;0;0;0
-6.200000;2;816;0.219200;500;502;0;0;0;0;0;0;0
-6.000000;2;816;0.219200;487;502;0;0;0;0;0;0;0
-5.800000;2;816;0.219200;445;502;0;0;0;0;0;0;0
-5.600000;2;816;0.219200;379;502;0;0;0;0;0;0;0
-5.400000;2;816;0.219200;309;502;0;0;0;0;0;0;0
-5.200000;2;816;0.219200;219;502;0;0;0;0;0;0;0
-5.000000;2;816;0.219200;158;502;0;0;0;0;0;0;0
-4.800000;2;816;0.219200;128;502;0;0;0;0;0;0;0
-4.600000;2;816;0.219200;117;502;0;0;0;0;0;0;0
-4.400000;2;816;0.219200;103;502;0;0;0;0;0;0;0
-4.200000;2;816;0.219200;100;502;0;0;0;0;0;0;0
-4.000000;2;816;0.219200;100;799;0;0;0;0;0;0;0
-3.800000;2;816;0.219200;75;1000;0;0;0;0;0;0;0
-3.600000;2;816;0.219200;39;1000;0;0;0;0;0;0;0
-3.400000;2;816;0.219200;25;1000;0;0;0;0;0;0;0
-3.200000;2;816;0.219200;9;1000;0;0;0;0;0;0;0
