SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
6.000000;13;5736;0.382400;5001;5002;0;0;0;0;0;0;0
6.200000;13;5736;0.382400;4919;5002;0;0;0;0;0;0;0
6.400000;13;5736;0.382400;4253;5002;0;0;0;0;0;0;0
6.600000;13;5736;0.382400;2209;5002;0;0;0;0;0;0;0
6.800000;13;5736;0.382400;1000;7484;0;0;0;0;0;0;0
7.000000;13;5736;0.382400;485;10000;0;0;0;0;0;0;0
7.200000;13;5736;0.382400;367;10000;0;0;0;0;0;0;0
7.400000;13;5736;0.382400;296;10000;0;0;0;0;0;0;0
7.600000;13;5736;0.382400;251;10000;0;0;0;0;0;0;0
7.800000;13;5736;0.382400;240;10000;0;0;0;0;0;0;0
8.000000;13;5736;0.382400;211;10000;0;0;0;0;0;0;0
8.200000;13;5736;0.382400;196;10000;0;0;0;0;0;0;0
8.400000;13;5736;0.382400;178;10000;0;0;0;0;0;0;0
8.600000;13;5736;0.382400;157;10000;0;0;0;0;0;0;0
8.800000;13;5736;0.382400;131;10000;0;0;0;0;0;0;0
9.000000;13;5736;0.382400;86;10000;0;0;0;0;0;0;0
