SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
-14.000000;1;672;0.180800;502;502;0;0;0;0;0;0;0
-13.800000;1;672;0.180800;502;502;0;0;0;0;0;0;0
-13.600000;1;672;0.180800;502;502;0;0;0;0;0;0;0
-13.400000;1;672;0.180800;502;502;0;0;0;0;0;0;0
-13.200000;1;672;0.180800;502;502;0;0;0;0;0;0;0
-13.000000;1;672;0.180800;502;502;0;0;0;0;0;0;0
-12.800000;1;672;0.180800;502;502;0;0;0;0;0;0;0
-12.600000;1;672;0.180800;502;502;0;0;0;0;0;0;0
-12.400000;1;672;0.180800;502;502;0;0;0;0;0;0;0
-12.200000;1;672;0.180800;502;502;0;0;0;0;0;0;0
-12.000000;1;672;0.180800;502;502;0;0;0;0;0;0;0
-11.800000;1;672;0.180800;502;502;0;0;0;0;0;0;0
-11.600000;1;672;0.180800;502;502;0;0;0;0;0;0;0
-11.400000;1;672;0.180800;502;502;0;0;0;0;0;0;0
-11.200000;1;672;0.180800;502;502;0;0;0;0;0;0;0
-11.000000;1;672;0.180800;502;502;0;0;0;0;0;0;0
-10.800000;1;672;0.180800;502;502;0;0;0;0;0;0;0
-10.600000;1;672;0.180800;502;502;0;0;0;0;0;0;0
-10.400000;1;672;0.180800;502;502;0;0;0;0;0;0;0
-10.200000;1;672;0.180800;502;502;0;0;0;0;0;0;0
-10.000000;1;672;0.180800;502;502;0;0;0;0;0;0;0
-9.800000;1;672;0.180800;502;502;0;0;0;0;0;0;0
-9.600000;1;672;0.180800;502;502;0;0;0;0;0;0;0
-9.400000;1;672;0.180800;502;502;0;0;0;0;0;0;0
-9.200000;1;672;0.180800;502;502;0;0;0;0;0;0;0
-9.000000;1;672;0.180800;502;502;0;0;0;0;0;0;0
-8.800000;1;672;0.180800;502;502;0;0;0;0;0;0;0
-8.600000;1;672;0.180800;502;502;0;0;0;0;0;0;0
-8.400000;1;672;0.180800;502;502;0;0;0;0;0;0;0
-8.200000;1;672;0.180800;502;502;0;0;0;0;0;0;0
-8.000000;1;672;0.180800;502;502;0;0;0;0;0;0;0
-7.800000;1;672;0.180800;502;502;0;0;0;0;0;0;0
-7.600000;1;672;0.180800;502;502;0;0;0;0;0;0;0
-7.400000;1;672;0.180800;502;502;0;0;0;0;0;0;0
-7.200000;1;672;0.180800;502;502;0;0;0;0;0;0;0
-7.000000;1;672;0.180800;502;502;0;0;0;0;0;0;0
-6.800000;1;672;0.180800;499;502;0;0;0;0;0;0;0
-6.600000;1;672;0.180800;500;502;0;0;0;0;0;0;0
-6.400000;1;672;0.180800;488;502;0;0;0;0;0;0;0
-6.200000;1;672;0.180800;452;502;0;0;0;0;0;0;0
-6.000000;1;672;0.180800;426;502;0;0;0;0;0;0;0
-5.800000;1;672;0.180800;337;502;0;0;0;0;0;0;0
-5.600000;1;672;0.180800;334;502;0;0;0;0;0;0;0
-5.400000;1;672;0.180800;297;502;0;0;0;0;0;0;0
-5.200000;1;672;0.180800;256;502;0;0;0;0;0;0;0
-5.000000;1;672;0.180800;238;502;0;0;0;0;0;0;0
-4.800000;1;672;0.180800;173;502;0;0;0;0;0;0;0
-4.600000;1;672;0.180800;100;506;0;0;0;0;0;0;0
-4.400000;1;672;0.180800;100;918;0;0;0;0;0;0;0
-4.200000;1;672;0.180800;63;1000;0;0;0;0;0;0;0
-4.000000;1;672;0.180800;27;1000;0;0;0;0;0;0;0
-3.800000;1;672;0.180800;10;1000;0;0;0;0;0;0;0
-3.600000;1;672;0.180800;5;1000;0;0;0;0;0;0;0
