SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
8.000000;18;7992;0.355200;5002;5002;0;0;0;0;0;0;0
9.000000;18;7992;0.355200;5002;5002;0;0;0;0;0;0;0
10.000000;18;7992;0.355200;3303;5002;0;0;0;0;0;0;0
10.200000;18;7992;0.355200;1337;5002;0;0;0;0;0;0;0
10.400000;18;7992;0.355200;810;10000;0;0;0;0;0;0;0
10.600000;18;7992;0.355200;446;10000;0;0;0;0;0;0;0
10.800000;18;7992;0.355200;363;10000;0;0;0;0;0;0;0
11.000000;18;7992;0.355200;325;10000;0;0;0;0;0;0;0
11.200000;18;7992;0.355200;312;10000;0;0;0;0;0;0;0
11.400000;18;7992;0.355200;256;10000;0;0;0;0;0;0;0
11.600000;18;7992;0.355200;219;10000;0;0;0;0;0;0;0
11.800000;18;7992;0.355200;202;10000;0;0;0;0;0;0;0
12.000000;18;7992;0.355200;186;10000;0;0;0;0;0;0;0
12.200000;18;7992;0.355200;168;10000;0;0;0;0;0;0;0
12.400000;18;7992;0.355200;155;10000;0;0;0;0;0;0;0
12.600000;18;7992;0.355200;121;10000;0;0;0;0;0;0;0
12.800000;18;7992;0.355200;96;10000;0;0;0;0;0;0;0
