SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
-15.000000;0;504;0.136000;502;502;0;0;0;0;0;0;0
-14.800000;0;504;0.136000;502;502;0;0;0;0;0;0;0
-14.600000;0;504;0.136000;502;502;0;0;0;0;0;0;0
-14.400000;0;504;0.136000;502;502;0;0;0;0;0;0;0
-14.200000;0;504;0.136000;502;502;0;0;0;0;0;0;0
-14.000000;0;504;0.136000;502;502;0;0;0;0;0;0;0
-13.800000;0;504;0.136000;502;502;0;0;0;0;0;0;0
-13.600000;0;504;0.136000;502;502;0;0;0;0;0;0;0
-13.400000;0;504;0.136000;502;502;0;0;0;0;0;0;0
-13.200000;0;504;0.136000;502;502;0;0;0;0;0;0;0
-13.000000;0;504;0.136000;502;502;0;0;0;0;0;0;0
-12.800000;0;504;0.136000;502;502;0;0;0;0;0;0;0
-12.600000;0;504;0.136000;502;502;0;0;0;0;0;0;0
-12.400000;0;504;0.136000;502;502;0;0;0;0;0;0;0
-12.200000;0;504;0.136000;502;502;0;0;0;0;0;0;0
-12.000000;0;504;0.136000;502;502;0;0;0;0;0;0;0
-11.800000;0;504;0.136000;502;502;0;0;0;0;0;0;0
-11.600000;0;504;0.136000;502;502;0;0;0;0;0;0;0
-11.400000;0;504;0.136000;502;502;0;0;0;0;0;0;0
-11.200000;0;504;0.136000;502;502;0;0;0;0;0;0;0
-11.000000;0;504;0.136000;502;502;0;0;0;0;0;0;0
-10.800000;0;504;0.136000;502;502;0;0;0;0;0;0;0
-10.600000;0;504;0.136000;502;502;0;0;0;0;0;0;0
-10.400000;0;504;0.136000;502;502;0;0;0;0;0;0;0
-10.200000;0;504;0.136000;502;502;0;0;0;0;0;0;0
-10.000000;0;504;0.136000;502;502;0;0;0;0;0;0;0
-9.800000;0;504;0.136000;502;502;0;0;0;0;0;0;0
-9.600000;0;504;0.136000;502;502;0;0;0;0;0;0;0
-9.400000;0;504;0.136000;502;502;0;0;0;0;0;0;0
-9.200000;0;504;0.136000;502;502;0;0;0;0;0;0;0
-9.000000;0;504;0.136000;502;502;0;0;0;0;0;0;0
-8.800000;0;504;0.136000;502;502;0;0;0;0;0;0;0
-8.600000;0;504;0.136000;502;502;0;0;0;0;0;0;0
-8.400000;0;504;0.136000;502;502;0;0;0;0;0;0;0
-8.200000;0;504;0.136000;502;502;0;0;0;0;0;0;0
-8.000000;0;504;0.136000;502;502;0;0;0;0;0;0;0
-7.800000;0;504;0.136000;501;502;0;0;0;0;0;0;0
-7.600000;0;504;0.136000;502;502;0;0;0;0;0;0;0
-7.400000;0;504;0.136000;502;502;0;0;0;0;0;0;0
-7.200000;0;504;0.136000;497;502;0;0;0;0;0;0;0
-7.000000;0;504;0.136000;493;502;0;0;0;0;0;0;0
-6.800000;0;504;0.136000;486;502;0;0;0;0;0;0;0
-6.600000;0;504;0.136000;471;502;0;0;0;0;0;0;0
-6.400000;0;504;0.136000;456;502;0;0;0;0;0;0;0
-6.200000;0;504;0.136000;396;502;0;0;0;0;0;0;0
-6.000000;0;504;0.136000;329;502;0;0;0;0;0;0;0
-5.800000;0;504;0.136000;246;502;0;0;0;0;0;0;0
-5.600000;0;504;0.136000;158;502;0;0;0;0;0;0;0
-5.400000;0;504;0.136000;104;502;0;0;0;0;0;0;0
-5.200000;0;504;0.136000;100;771;0;0;0;0;0;0;0
-5.000000;0;504;0.136000;67;1000;0;0;0;0;0;0;0
-4.800000;0;504;0.136000;38;1000;0;0;0;0;0;0;0
-4.600000;0;504;0.136000;26;1000;0;0;0;0;0;0;0
-4.400000;0;504;0.136000;15;1000;0;0;0;0;0;0;0
-4.200000;0;504;0.136000;15;1000;0;0;0;0;0;0;0
-4.000000;0;504;0.136000;16;1000;0;0;0;0;0;0;0
-3.800000;0;504;0.136000;10;1000;0;0;0;0;0;0;0
-3.600000;0;504;0.136000;7;1000;0;0;0;0;0;0;0
